SRS Review Checklist,,,,,
,,,,,
Mã dự án,CINEMA_2026,,,,
Phiên bản sản phẩm,v1.0,,,,
Phân hệ / Module,Chức năng Chat với trợ lý ảo,,,,
Lần xem xét,1,,,,
Người xem xét,Lê Vũ Thành Vinh,,,,
Ngày xem xét,46187,,,,
Độ lớn sản phẩm,1 Use case,,,,
Nguồn lực dành cho xem xét (MH),8,,,,
,,,,,
,,,,,
Câu hỏi,Có,Không,N/A,Ghi chú,Điều kiện
Kiểm soát tài liệu,,,,,
Tài liệu có tuân thủ theo yêu cầu kiểm soát tài liệu không:,x,,,,Bắt buộc
Mẫu tài liệu có phải là mẫu mới nhất không?,x,,,,Bắt buộc
"Trang tiêu đề có bao gồm đủ tên tài liệu, phiên bản, tên công ty và logo, mã dự án, mã hiệu tài liệu và thời gian ban hành không?",,x,,Thiếu tên công ty và mã hiệu trên trang bìa,Bắt buộc
"Đầu và cuối trang có bao gồm tên, phiên bản của tài liệu, Mã hiệu của template không?",,x,,Đầu và cuối trang hiện không chứa mã hiệu tài liệu.,Bắt buộc
Đánh số trang có theo đúng qui định: số thứ tự/tổng số trang?,x,,,,Bắt buộc
Trang ký có bao gồm đủ Người xem xét & Người phê duyệt không?,x,,,,Bắt buộc
Có bảng theo dõi lịch sử thay đổi không? ,,x,,Tài liệu đồ án không có bảng Revision History.,Bắt buộc
Đối với trường hợp phiên bản tài liệu > v1.0:,,,,,
Các nội dung ghi nhận trong Bảng ghi nhận thay đổi này có đầy đủ và đúng không?,,,x,,Bắt buộc
Giới thiệu chung,,,,,
Có nêu rõ mục đích của tài liệu không?,x,,,,Bắt buộc
Phạm vi hệ thống có được mô tả rõ ràng không?,x,,,,
Các khái niệm và thuật ngữ có được định nghĩa đầy đủ không?,x,,,,Bắt buộc
Có liệt kê các tài liệu tham khảo không? ,x,,,,
"Nếu có, mỗi tài liệu có bao gồm các thông tin sau không?",,,,,
Tên tài liệu,x,,,,
Ngày phát hành,,x,,Nhiều link tham khảo web không có ngày phát hành cụ thể.,
Nguồn,x,,,,
Có mô tả giới hạn của tài liệu không?,,x,,Tài liệu chưa mô tả rõ giới hạn tài liệu ở phần mở đầu.,Bắt buộc
Có mô tả tổ chức của tài liệu không?,x,,,,Bắt buộc
Mô tả tổng thể,,,,,
Có xác định ngữ cảnh và điều kiện sử dụng của hệ thống (scenarios and operational concepts) không?,x,,,,Bắt buộc
Có liệt kê các chức năng sản phẩm trong tài liệu không?,x,,,,Bắt buộc
Các chức năng sản phẩm được liệt kê này:,,,,,Bắt buộc
Có được phân nhóm một cách hợp lý?,x,,,,
Có được mô tả một cách chính xác không?,x,,,,
Danh sách Nhóm người / Người sử dụng có được đề cập theo các yêu cầu / chức năng này này không?,x,,,,
Vai trò của Nhóm người / Người sử dụng có được ghi nhận không?,x,,,,
Có mô hình / Sơ đồ Tổng thể hệ thống không?,x,,,,
Có mô tả đặc điểm người sử dụng không?,x,,,,Bắt buộc
Có mô tả các ràng buộc đối với hệ thống không?,x,,,,
Có các giả thiết và phụ thuộc không?,,x,,Không có mục Giả thiết & Phụ thuộc,
Đặc tả yêu cầu chức năng sản phẩm - Tổng quát,,,,,
Mỗi yêu cầu có được xác định duy nhất và chính xác không?,x,,,,Bắt buộc
Các yêu cầu có thống nhất không?,x,,,,Bắt buộc
Có thứ tự ưu tiên / độ ưu tiên thực hiện cho các yêu cầu không?,,x,,Hiện chưa có thứ tự ưu tiên cho các yêu cầu chức năng.,Bắt buộc
Có ghi nhận mã hiệu và tên gọi cho tất cả các yêu cầu không?,x,,,,Bắt buộc
Các dẫn chiếu đến các yêu cầu khác trong tài liệu có đúng không?,x,,,,
Nếu tài liệu SRS được sử dụng để nghiệm thu hệ thống: Có mô tả tiêu chí nghiệm thu của các chức năng sản phẩm trong tài liệu không?,,x,,Tài liệu chưa có mục tiêu chí nghiệm thu (Acceptance Criteria) cho từng chức năng.,Bắt buộc
Các yêu cầu có đầy đủ thông tin cần thiết không?,x,,,,
Nếu có yêu cầu nào thiếu có được đánh dấu lại không?,,x,,Hiện chưa có đánh dấu riêng cho các yêu cầu thiếu thông tin.,
"Các yêu cầu khác về chất lượng có được mô tả rõ ràng và được số hoá, với những điều chỉnh có thể chấp nhận được không?",,x,,,
Các yêu cầu có nằm trong phạm vi dự án không?,x,,,,
Các yêu cầu có thực sự là yêu cầu mà không phải là đề xuất thiết kế hoặc giải pháp thực hiện không?,x,,,,
Hành động cần làm trong những trường hợp có lỗi (nếu có) có được mô tả không?,x,,,,
Đặc tả yêu cầu chức năng sản phẩm - Chi tiết,,,,,
Các yêu cầu có cung cấp đủ cơ sở cho thiết kế không?,x,,,,Bắt buộc
Có thể thực hiện được tất cả các yêu cầu với các ràng buộc đã ghi nhận không?,x,,,,Bắt buộc
Có xác định các thuật toán của use case không?,,x,,Chưa có mô tả chi tiết thuật toán ,
"Mỗi yêu cầu đều có thể kiểm tra được bằng 1 trong các biện pháp sau: test, demonstration, review hoặc phân tích không?",x,,,,Bắt buộc
Các thông báo lỗi cần thiết đều duy nhất và rõ nghĩa?,x,,,,
Mỗi yêu cầu chức năng phần mềm có tương ứng với 1 yêu cầu ở mức cao hơn không? (ví dụ: mức cao hơn có thể là yêu cầu của hệ thống hoặc use case không?),x,,,,
"Các yêu cầu phi chức năng, các yêu cầu đặc biệt của người dùng",,,,,
Các yêu cầu về bảo mật và an toàn có được xác định không?,x,,,,"Bắt buộc
"
Loại bảo mật nào được yêu cầu?,x,,,,
Có xác định các yêu cầu về sao lưu dữ liệu không?,,x,,Tài liệu hiện chưa đề cập đến yêu cầu sao lưu (Backup) CSDL.,
Có xác định các yêu cầu về tính sử dụng (usability) của hệ thống không?,x,,,,
Có xác định các yêu cầu về tính ổn định (stability) của hệ thống không?,x,,,,
Các yêu cầu về performance (hiệu năng) có được xác định không?,x,,,,
Lưu lượng giao dịch và qui mô của dữ liệu có được chỉ rõ trong tài liệu không?,x,,,,Bắt buộc
Có xác định các yêu cầu về tính hỗ trợ của hệ thống không?,x,,,,
Có mô tả các yêu cầu về công nghệ và các ràng buộc đối với thiết kế không?,x,,,,Bắt buộc
Có xác định các yêu cầu giao tiếp của hệ thống không?,x,,,,
Giao tiếp người dùng (GUI)?,x,,,,Bắt buộc
Giao tiếp phần cứng?,,x,,,
Giao tiếp phần mềm bao gồm:,,,,,
Giao tiếp với các hệ thống phần mềm khác?,x,,,,Bắt buộc
Giao tiếp giữa các modul trong nội tại hệ thống?,x,,,,Bắt buộc
Giao tiếp truyền thông?,x,,,,
Có xác định các yêu cầu về tài liệu người dùng và hỗ trợ trực tuyến không?,x,,,,
Hệ thống có sử dụng các thành phần mua ngoài không?,x,,,,
"Nếu có, có được mô tả đầy đủ trong tài liệu không?",x,,,,Bắt buộc
"Các yêu cầu pháp lý, bản quyền không?",,x,,Cần bổ sung các ràng buộc pháp lý liên quan đến việc chia sẻ dữ liệu hội thoại qua API của Google và chính sách bảo mật thông tin người dùng,
"Nếu có, có được mô tả đầy đủ trong tài liệu không?",,,,,Bắt buộc
Hệ thống có áp dụng các tiêu chuẩn nào khác ngoài các tiêu chuẩn thuộc phạm vi dự án không?,,x,,,
"Nếu có, có được mô tả đầy đủ trong tài liệu không?",,,,,Bắt buộc
,,,,,
<Có thể thêm vào checklist các quan tâm khác nếu cần thiết>,,,,,
,,,,,
* Nhận xét,,,,,
"Tài liệu SRS phiên bản v1.0 đã đáp ứng phần lớn các tiêu chí kiểm soát và nội dung bắt buộc theo checklist. Các mục về kiểm soát tài liệu, phạm vi, mục đích, chức năng, phân nhóm chức năng, mô tả nghiệp vụ, yêu cầu phi chức năng, giao diện, bảo mật, hiệu năng, và các ràng buộc kỹ thuật đều được trình bày đầy đủ, rõ ràng. Tài liệu có mô hình phân rã chức năng, mô tả đặc điểm người dùng, và các yêu cầu về giao tiếp, hỗ trợ, tiêu chuẩn áp dụng đã được xác định.",,,,,
,,,,,
,,,,,
,,,,,
* Đề xuất,,,,,
"Bổ sung tên công ty, mã hiệu tài liệu vào trang bìa và xây dựng bảng theo dõi lịch sử thay đổi để kiểm soát phiên bản.
",,,,,
,,,,,
[  ] - Đạt,,,,,
[ X ] - Xem xét lại,,,,,
[  ] - Khác,,,,,
